SchoolYear,ISDCode,ISDName,DistrictCode,DistrictName,BuildingCode,BuildingName,CountyCode,CountyName,EntityType,SchoolLevel,LOCALE_NAME,TOTAL_ENROLLMENT,MALE_ENROLLMENT,FEMALE_ENROLLMENT,AMERICAN_INDIAN_ENROLLMENT,ASIAN_ENROLLMENT,AFRICAN_AMERICAN_ENROLLMENT,HISPANIC_ENROLLMENT,HAWAIIAN_ENROLLMENT,WHITE_ENROLLMENT,TWO_OR_MORE_RACES_ENROLLMENT,EARLY_MIDDLE_COLLEGE_ENROLLMENT,KINDERGARTEN_ENROLLMENT,GRADE_1_ENROLLMENT,GRADE_2_ENROLLMENT,GRADE_3_ENROLLMENT,GRADE_4_ENROLLMENT,GRADE_5_ENROLLMENT,GRADE_6_ENROLLMENT,GRADE_7_ENROLLMENT,GRADE_8_ENROLLMENT,GRADE_9_ENROLLMENT,GRADE_10_ENROLLMENT,GRADE_11_ENROLLMENT,GRADE_12_ENROLLMENT,ECONOMIC_DISADVANTAGED_ENROLLMENT,SPECIAL_EDUCATION_ENROLLMENT,ENGLISH_LANGUAGE_LEARNERS_ENROLLMENT
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03717","Coleman A. Young Elementary School","82","Wayne","LEA School","Elementary","City: Large","485","266","219","0","0","483","0","0","2","0","0","87","103","85","83","75","52","0","0","0","0","0","0","0","409","57","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07654","Communication and Media Arts High School","82","Wayne","LEA School","High School","City: Large","548","260","288","2","0","541","2","0","2","1","0","0","0","0","0","0","0","0","0","0","137","129","162","120","458","16","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00781","Cooke STEM Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","361","181","180","0","0","358","2","0","1","0","0","57","53","69","48","52","41","41","0","0","0","0","0","0","266","43","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00029","Davis Aerospace Technical High School at Golightly","82","Wayne","LEA School","High School","City: Large","162","83","79","0","0","158","2","0","2","0","0","0","0","0","0","0","0","0","0","0","39","51","31","41","138","13","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00880","Davison Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","888","431","457","0","379","485","1","0","23","0","0","76","99","103","85","97","108","109","106","105","0","0","0","0","753","69","339"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00902","Denby High School","82","Wayne","LEA School","High School","City: Large","539","297","242","0","0","537","2","0","0","0","0","0","0","0","0","0","0","0","0","0","157","147","139","96","489","117","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02778","Detroit Collegiate Preparatory High School at Northwestern","82","Wayne","LEA School","High School","City: Large","425","233","192","0","0","421","2","0","2","0","0","0","0","0","0","0","0","0","0","0","119","112","94","100","375","131","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00039","Detroit International Academy for Young Women","82","Wayne","LEA School","Elem thru High School","City: Large","204","0","204","0","31","150","1","9","13","0","0","15","10","11","9","14","11","10","12","14","21","22","29","26","165","12","42"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","08925","Detroit Lions Academy","82","Wayne","LEA School","Middle School","City: Large","113","85","28","0","0","113","0","0","0","0","0","0","0","0","0","0","0","22","45","46","0","0","0","0","100","17","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07794","Detroit School of Arts","82","Wayne","LEA School","High School","City: Large","456","142","314","2","1","442","7","0","4","0","0","0","0","0","0","0","0","0","0","0","140","109","107","100","351","52","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09475","Diann Banks-Williamson Educational Center","82","Wayne","LEA School","High School","City: Large","67","42","25","0","0","59","2","0","6","0","0","0","0","0","0","0","0","0","0","0","18","9","16","16","45","67","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00925","Dixon Elementary School","82","Wayne","LEA School","Elem_Middle School","City: Large","510","269","241","0","0","496","6","0","8","0","0","58","41","60","47","69","57","69","54","55","0","0","0","0","453","67","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00939","Dossin Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","370","195","175","0","0","367","0","0","3","0","0","32","47","49","43","38","49","37","33","42","0","0","0","0","311","59","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00975","Durfee Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","585","317","268","3","1","565","8","0","6","2","0","59","74","61","66","57","73","58","80","57","0","0","0","0","501","86","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00860","Earhart Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","901","474","427","2","0","227","600","0","72","0","0","85","102","72","80","74","87","143","135","123","0","0","0","0","704","132","363"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01189","East English Village Preparatory Academy","82","Wayne","LEA School","High School","City: Large","875","453","422","4","0","866","2","1","2","0","0","0","0","0","0","0","0","0","0","0","266","213","191","205","779","239","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01084","Edison Elementary School","82","Wayne","LEA School","Elementary","City: Large","347","184","163","0","0","341","1","0","5","0","0","61","78","55","52","57","44","0","0","0","0","0","0","0","277","22","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03639","Edmonson Montessori","82","Wayne","LEA School","Elem_Middle School","Not Specified","103","60","43","1","0","92","1","0","9","0","0","35","36","26","5","1","0","0","0","0","0","0","0","0","59","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03737","Edward ""Duke"" Ellington at Beckham","82","Wayne","LEA School","Elem_Middle School","City: Large","590","273","317","1","0","588","1","0","0","0","0","76","82","60","65","53","61","74","63","56","0","0","0","0","475","49","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01134","Emerson Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","614","343","271","0","0","608","1","0","5","0","0","75","71","65","60","71","66","57","83","66","0","0","0","0","525","84","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09121","Fisher Magnet Lower Academy","82","Wayne","LEA School","Elementary","City: Large","553","295","258","1","4","542","3","0","3","0","0","111","113","113","106","110","0","0","0","0","0","0","0","0","487","72","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09345","Fisher Magnet Upper Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","426","221","205","0","0","425","0","0","1","0","0","0","0","0","0","0","92","120","96","118","0","0","0","0","372","90","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07326","Foreign Language Immersion and Cultural Studies","82","Wayne","LEA School","Elem_Middle School","City: Large","726","326","400","1","0","712","7","0","6","0","0","93","96","93","94","75","73","72","66","64","0","0","0","0","379","31","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07135","Frederick Douglass Academy for Young Men","82","Wayne","LEA School","Middle_High School","City: Large","67","67","0","0","0","67","0","0","0","0","0","0","0","0","0","0","0","0","3","6","7","9","21","21","47","26","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01362","Gardner Elementary School","82","Wayne","LEA School","Elementary","City: Large","268","147","121","1","0","169","15","0","81","2","0","38","57","44","52","40","37","0","0","0","0","0","0","0","220","17","75"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","07581","Garvey Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","334","158","176","0","0","332","0","1","1","0","0","54","45","58","35","41","30","18","26","27","0","0","0","0","267","93","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00176","Golightly Education Center","82","Wayne","LEA School","Elem_Middle School","City: Large","350","172","178","0","0","350","0","0","0","0","0","48","43","56","40","50","30","24","26","33","0","0","0","0","256","46","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01438","Gompers Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","844","425","419","0","0","831","4","0","8","1","0","105","104","80","94","83","96","98","97","87","0","0","0","0","722","80","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01493","Greenfield Union Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","269","152","117","0","0","264","0","0","5","0","0","33","39","33","29","30","24","24","28","29","0","0","0","0","241","57","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09994","Hamilton Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","231","121","110","0","0","231","0","0","0","0","0","26","37","22","29","24","20","24","26","23","0","0","0","0","213","16","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01574","Harms Elementary School","82","Wayne","LEA School","Elementary","City: Large","343","188","155","1","0","40","281","0","19","2","0","43","61","70","60","64","45","0","0","0","0","0","0","0","281","33","225"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00004","Henderson Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","779","440","339","1","0","770","4","0","4","0","0","90","83","86","102","77","78","76","98","89","0","0","0","0","709","112","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01634","Henry Ford High School","82","Wayne","LEA School","High School","City: Large","575","323","252","0","0","570","4","1","0","0","0","0","0","0","0","0","0","0","0","0","183","133","154","105","480","115","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","01803","Hutchinson Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","287","144","143","0","0","285","0","0","2","0","0","38","40","36","35","24","37","28","26","23","0","0","0","0","244","58","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09992","J. E. Clark Preparatory Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","361","182","179","0","0","353","2","1","5","0","0","37","41","35","34","44","46","46","39","39","0","0","0","0","317","25","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09592","Jerry L. White Center","82","Wayne","LEA School","High School","City: Large","196","114","82","0","0","174","11","0","10","1","0","0","0","0","0","0","0","0","0","0","27","32","36","101","146","196","12"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","02036","John R. King Academic and Performing Arts Academy","82","Wayne","LEA School","Elem_Middle School","City: Large","853","450","403","1","0","848","4","0","0","0","0","60","80","91","81","80","80","100","132","149","0","0","0","0","731","113","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","09594","Keidan Special Education Center","82","Wayne","LEA School","Elem_Middle School","City: Large","119","74","45","0","1","86","15","0","16","1","0","3","5","13","14","14","22","15","13","20","0","0","0","0","96","119","16"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03481","Legacy Academy","82","Wayne","LEA School","Middle_High School","Not Specified","19","16","3","0","0","19","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","12","3","2","18","<10","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","03703","Ludington Magnet Middle School","82","Wayne","LEA School","Middle School","City: Large","267","135","132","0","0","266","1","0","0","0","0","0","0","0","0","0","0","48","103","116","0","0","0","0","203","63","<10"
"19 - 20 School Year","82","Wayne RESA","82015","Detroit Public Schools Community District","00853","Mackenzie Elementary-Middle School","82","Wayne","LEA School","Elem_Middle School","City: Large","904","483","421","1","0","895","6","1","1","0","0","94","117","110","91","94","95","113","98","92","0","0","0","0","765","158","<10"
